"itemid","adid","level"
"IJF4T","WT3I1","other"
"LA3AJ","NDQ7D","other"
"K5CQA","D0LBA","silver"
"O3WUR","ECRVB","silver"
"RJS2K","GY0VN","platinum"
"G9M7N","2YU28","platinum"
"SXNTX","GS2HI","silver"
"LZGXR","P6V0V","gold"
"9BNZR","5AHJI","silver"
"4NBH1","IPKWV","platinum"
"CL0BZ","PC6M8","other"
"5QZF7","LZ45N","other"
"LZV8U","TOH73","other"
"U7DGF","RUFGJ","platinum"
"HAAT2","LD3L7","other"
"KS2PG","PLMCV","silver"
"INGT5","TVVUF","silver"
"XSUDA","E5UW1","gold"
"ZI4TG","HBJ8X","platinum"
"DBXBK","9GT1Y","silver"
"WV9HK","4DPRV","other"
"UP07X","UDFEC","silver"
"KTJZ4","IDTQO","silver"
"KS0TW","NNI2Y","platinum"
"1E322","YUVS1","silver"
"0WRP0","MB1JU","gold"
"0WU9Y","O7I4T","gold"
"GB9XY","28J6Y","gold"
"72W1H","P309U","platinum"
"M5DUP","BRZJO","platinum"
"AZCO1","06LJD","platinum"
"0DVVQ","GAPHE","gold"
"OWLD8","JNV07","other"
"9S51E","FUYH6","silver"
"V5BD4","DSTCK","gold"
"C47IM","WSK31","platinum"
"97LJB","PFH0K","other"
"VA9SH","7387L","gold"
"JKTAB","GB4JN","silver"
"04AG5","F67QI","silver"
"RDDXQ","HZAS9","silver"
"92CJN","U5TDB","other"
"A0D5X","HCNQO","gold"
"Q9VYQ","OM6S1","silver"
"7LXHU","340NN","gold"
"OXAY5","XKTNC","other"
"V0FGF","8VNIS","gold"
"EHZRI","VDIE7","gold"
"25IZ5","DHJYT","gold"
"4FS7I","M69AO","platinum"
"5YK0A","2QSL6","other"
"YQD0N","GKH9J","other"
"ZJ0UH","CTNHQ","silver"
"BOJEE","OR913","silver"
"O3W1W","O80G0","other"
"TOMKL","XPB6E","gold"
"7CQEC","WMNV1","gold"
"TKR2V","51TRY","silver"
"Y3C4O","JIBEL","gold"
"00E5T","X731M","other"
"3R096","6Y3ZQ","gold"
"ZT3S8","SK98Z","silver"
"C96GY","FT1T1","gold"
"MV835","7SMA6","silver"
"MR5BC","XYXYN","silver"
"RPJTC","ADG60","gold"
"KQ51N","OVVWX","platinum"
"W3OOH","FQVRS","platinum"
"38T6H","ZOGOR","other"
"2UBTE","ISIRD","gold"
"WV9HK","VH2DR","platinum"
"EB72M","NOVFG","silver"
"VNT52","T0X8L","gold"
"SPTMC","IZRF8","silver"
"NK471","K40PX","silver"
"N1OKM","VLQNG","silver"
"AN2FB","ZV3GE","platinum"
"4WI82","MXRCI","gold"
"C86BB","X2STV","platinum"
"LRPPD","ASKB2","other"
"6C767","H14FC","other"
"HYL7S","1ORI4","other"
"26E9V","W08T5","other"
"FB3E6","TFHGE","platinum"
"YHKP2","2E3B8","platinum"
"1H109","09VKV","platinum"
"7FFU2","ZKGXK","other"
"XXRU5","JVCHT","silver"
"IKNTK","LNZ49","gold"
"KD3UG","ZHTX8","other"
"WCB6Y","F2OS4","gold"
"921SB","BHBV1","platinum"
"W6FUM","CGGT3","silver"
"GSRE0","1QXQ0","other"
"GRKEY","7T41P","platinum"
"YT2V9","SIGLI","silver"
"EG1FE","SRGUH","gold"
"IQQSN","EU7CR","other"
"RE28T","HKQMO","silver"
"6MXTX","CDAMG","gold"
"ONH6R","5FTM6","silver"
"ERILV","1KP69","platinum"
"71R03","MD715","platinum"
"3RS6I","66ELK","silver"
"NN5FM","K0X10","silver"
"SD3CG","006O3","gold"
"MMS71","47CUV","silver"
"Y8TQO","S7EDE","silver"
"7O1BW","RPFGM","gold"
"7217W","QF6CB","platinum"
"R5VV3","F1IWE","platinum"
"DNYTK","O4F7O","other"
"UH1IX","3XPIH","silver"
"F3GZL","6DZN1","other"
"JMKN1","YC9A6","platinum"
"GULUK","XBIF7","gold"
"Z95QI","KYXNE","other"
"HX2ZN","JO40T","silver"
"J3E8C","RTZXP","platinum"
"4UG2X","0IZSN","platinum"
"CKRT9","UVCSM","other"
"3YS9Z","CK9NX","other"
"I7KWS","O7IL4","platinum"
"4MX3D","CZIDM","other"
"E1ZRQ","AZ78H","silver"
"PFJZX","U4D5I","platinum"
"LO00W","W3UDF","platinum"
"XE8IF","AF0RN","gold"
"TZM3X","V49Z9","platinum"
"J7Y87","E55B2","platinum"
"QHXA3","OT7KF","other"
"CCGMS","ZZLBD","gold"
"EBJX3","5GENZ","silver"
"XMG0E","6478U","gold"
"DCMAL","VQBRD","gold"
"HLXUW","A4WLP","platinum"
"BKH3U","KR23I","platinum"
"X8GN7","LHOIF","silver"
"YQRR6","BQLC2","silver"
"J9T51","GYRUZ","silver"
"4S1DM","UM7T5","platinum"
"U2547","RWK4T","other"
"BR6RQ","BJ9RL","other"
"TLLP3","TQBWG","silver"
"4931O","7UO6P","silver"
"DSDYN","KU7NQ","silver"
"0IO99","ZW8YU","silver"
"5JK7S","ZSO8G","silver"
"V1368","KHRU9","gold"
"P92DM","AJX4G","platinum"
"WASYY","OQDAW","silver"
"IIKZG","B6AYP","other"
"US4SQ","4SIYB","platinum"
"NRF2O","EFTEV","platinum"
"QCO3B","HNGLM","platinum"
"78S9D","XF7PR","platinum"
"VOJ7T","RFN4P","gold"
"FDXXW","ATLNB","other"
"GOE8P","7WOZI","silver"
"CEKOZ","66K5E","platinum"
"MI8B9","40QLA","other"
"YBS45","CECW9","other"
"ZWY64","W7VIV","platinum"
"0YPWW","WFRWZ","gold"
"7VBGQ","JY6SQ","silver"
"CFSGT","DHM4F","silver"
"QM9C9","Q2K1N","other"
"FF443","I449X","gold"
"YJOVW","EUY5Z","other"
"BJJUD","3GWO8","other"
"KBL3I","727GZ","other"
"5YC7S","2UY3G","platinum"
"YEJBQ","2LNLH","silver"
"I0PB5","7L92O","platinum"
"7N8JR","4LC7R","silver"
"1VSMH","B5R1C","silver"
"EK73U","8447V","other"
"SQN6Y","8RCEF","platinum"
"160KQ","RU8L8","other"
"22MKE","6FBXA","platinum"
"JZA8P","4DJXH","silver"
"32SXI","054UK","platinum"
"Y77KF","UK0YV","silver"
"EKDJT","80J2F","silver"
"U36A1","B72OT","gold"
"YV4D4","WF6RB","platinum"
"OBL4U","E9VER","platinum"
"M38H8","PA18V","other"
"OYFNI","Y3H7A","other"
"FGCK9","HWE5V","other"
"HDX5Q","G8AL0","other"
"A5FVJ","CDKWL","other"
"4TB3U","4UTGX","platinum"
"ZQSTY","31RXM","gold"
"ELFRU","X3L0S","platinum"
"SJCXR","RWUY0","gold"
"PQAFJ","NCN5V","platinum"
"4UA1H","P54PH","platinum"
"IU79H","RUIC6","other"
"EWAI2","3CQ3X","silver"
"W721P","0S24Y","silver"
"WQJJF","IWT3J","platinum"
"OAANE","3IQHK","silver"
"Y1X3D","4C9L0","platinum"
"YHRLM","WAUVG","platinum"
"FQ44E","YCYSP","platinum"
"WIUUS","GW9NM","other"
"X3N82","K1BRQ","gold"
"3YOIC","SRXC0","gold"
"FGQDK","MAJFM","other"
"WJMS4","UGGPU","gold"
"2JBJM","L8P57","gold"
"8BMY4","6O6VR","other"
"IKNTK","A0FWS","gold"
"5S22C","DXLGP","silver"
"WAL6O","CV9PO","silver"
"KKOKG","FDGU5","other"
"NFLPZ","Z5VWC","platinum"
"A8DSM","8VI0V","gold"
"6S3Q1","0LW33","platinum"
"6XUMM","AO8EP","gold"
"XVZUK","02PTG","gold"
"LNW2F","DBJD4","platinum"
"2LJXB","JCNK9","gold"
"S2G0E","EJ8AM","other"
"MOXYP","94A37","other"
"8R406","B2L5M","gold"
"TK7D3","BUYHZ","platinum"
"6K2HM","81TL0","silver"
"IWUS7","7H0FW","gold"
"ISXVE","4SY25","silver"
"LO4A2","466PB","silver"
"UTTIV","PTQ11","silver"
"UZS96","BPI5N","other"
"V2MD4","5D94C","gold"
"E9AX4","GOE8P","platinum"
"CHC0U","TJNQ3","silver"
"VE0PT","QO90N","platinum"
"Y3FSM","C6IRX","platinum"
"G1UCP","OB7E5","silver"
"5YRO9","NBWY0","other"
"IMRE9","1QR8S","silver"
"WEF0G","AAXHY","silver"
"UP07X","54X9J","platinum"
"SS0IS","PGIMT","silver"
"ZCWLT","QOTD7","platinum"
"T7AS3","WVM4H","other"
"WYG6I","Z0C1D","other"
"PJZ1W","NUBJ2","other"
"2BYNP","6CIJO","other"
"LMWIC","CE8BA","silver"
"53TU6","XCN49","gold"
"6CR0A","TTBO5","platinum"
"XV9E8","WDD2U","other"
"0GJJA","7BL9E","platinum"
"4Q6ZI","996PD","platinum"
"1GY9W","ICK2P","other"
"NCFKQ","U812P","platinum"
"11LSZ","Y4ZLS","silver"
"X7E7Y","QANOO","other"
"LR5HD","ZUE5A","silver"
"U93IP","5DRRM","platinum"
"FKHGC","9QQ6F","gold"
"755NT","Y7EWQ","silver"
"4A1DK","2000Q","gold"
"OV9IM","8790B","silver"
"D1H72","7TCUA","gold"
"C8AZJ","XMENC","platinum"
"XE8IF","LW98R","other"
"5G8KY","5J1AW","platinum"
"3TVFH","VAARN","platinum"
"RVKZR","45MOX","other"
"9IWTH","X817S","other"
"RZ30S","S5GDA","silver"
"D6LF5","ZMDY7","gold"
"WKCGJ","U5PX8","silver"
"UOW05","DCO20","other"
"BHX5N","SFBQF","gold"
"5UII6","UOK50","gold"
"4736I","DFJHG","other"
"7ALVQ","LU5B8","platinum"
"A12CA","PKY6S","silver"
"VTEEO","Y7WFQ","silver"
"GMR8H","1WFA4","gold"
"H9K88","SHQ1D","silver"
"DLR5O","GYN8X","platinum"
"22KEK","3E8YH","platinum"
"MAM38","H2NLU","platinum"
"F6BXN","T10CM","gold"
"ECK03","5LO33","gold"
"E9ULD","QNYMF","gold"
"PW2RH","ZNTAH","silver"
"4CO5C","OBYCI","gold"
"WA65H","E2XNK","silver"
"GJUIE","F0USU","gold"
"SQANO","PMZ0J","gold"
"I8L5K","OS1S0","gold"
"L8WZZ","DZZRB","other"
"HZMMD","HBSCB","other"
"ZBJUZ","9J5GF","gold"
"1ZCUJ","NPPAE","gold"
"25FVY","IMW33","other"
"CRGE1","NN2X8","silver"
"PQN0T","WA1YY","other"
"9ROCB","UJANN","other"
"B7P8D","I5R98","gold"
"XKLIS","UMB0U","platinum"
"AM4QP","PUZUU","platinum"
"JRUI0","PYGY9","platinum"
"0QKV6","V02LW","gold"
"0QKV6","QBFRI","other"
"T1N4Z","SE8EI","gold"
"94WWK","8PDI9","silver"
"5OGA0","GEILW","platinum"
"ZMCWM","4RP8A","silver"
"4GL6Y","MY5UQ","gold"
"AF0RN","JQOTT","platinum"
"QVZQO","J9FG5","silver"
"E1ZUS","FOSKC","silver"
"WM645","7H02W","silver"
"BVR1A","G21H1","gold"
"NW8PM","QKZI0","platinum"
"PY0HE","7FOMX","silver"
"QMTJ8","356CV","silver"
"DB1AN","95BS1","gold"
"AARTO","FPS6O","gold"
"KQETE","F7OFQ","gold"
"6TKZ2","YH2FA","silver"
"34DJN","KW5PN","silver"
"7H20X","RAJQE","other"
"F8DX5","P1P28","gold"
"DCZWA","G1RE5","silver"
"1E80I","LEB1H","silver"
"J3CX2","HKVT7","gold"
"6GVOA","IV0LJ","gold"
"RBHRC","MPS2A","silver"
"E7OA3","HANL0","gold"
"YMEV1","Z263U","other"
"EOJ9R","RE1MF","gold"
"4019B","FYZ0M","silver"
"RJBM4","5CU6I","silver"
"4SJQM","AIDK9","silver"
"LB1T8","QZOMV","other"
"3EZKL","ULBRJ","silver"
"BG37L","6ZH03","other"
"U61SN","0FANT","gold"
"INJ0O","ILYKM","other"
"438I2","7CLBC","platinum"
"J26P1","R0MEF","gold"
"RY6J0","87BU7","gold"
"LGFKI","UO8E2","other"
"TGW4Y","23PG8","gold"
"E7DGW","CD104","platinum"
"FEZS3","A1N5F","gold"
"0VUV4","0ISMB","platinum"
"6IMOW","9OXDJ","other"
"KB771","3ZGYT","gold"
"GSCX5","JYLUO","gold"
"4GLO5","0BPEX","platinum"
"BQU1U","8G8G4","silver"
"0GC5U","BK7L2","platinum"
"PNXYD","I1T6D","other"
"WPQ2D","05TT7","gold"
"WFD3U","21YMI","silver"
"3TVFH","EBQOU","gold"
"WHAWF","O60DS","gold"
"WFH69","E1EY7","gold"
"28LUI","EHME0","gold"
"06KHT","UYA58","silver"
"5QSW0","DQASS","platinum"
"I0CTU","TO9GM","platinum"
"L248Z","0HA6I","platinum"
"DWJ7E","LY99M","other"
"XIYZT","4MOET","platinum"
"RYEJM","D1RS7","silver"
"CZAMZ","4ZQ9V","other"
"F0HN3","EG4EI","silver"
"GY5EN","0RZLT","silver"
"TIZ11","D7T7J","other"
"02ISS","1CNSR","gold"
"03GH9","2KRFU","gold"
"GKYH3","1VVAE","platinum"
"EMTTB","XW1BX","gold"
"I6OOA","WVJ3G","other"
"IATKX","2Y49T","other"
"7X6A6","1UB50","platinum"
"Q7F1R","UNHMI","other"
"2Y6AJ","BXR0O","other"
"L6KPB","EGRBZ","silver"
"AZDJX","91VQV","gold"
"1HY8K","2PMG2","platinum"
"KTHM1","LWDTP","platinum"
"OIEQM","U4FUB","gold"
"AO8MT","HG04Y","silver"
"H1FKJ","CPRM9","gold"
"LGZZ7","75A6B","gold"
"C5CGK","X359G","other"
"M3UJY","93LX3","platinum"
"DZE3J","3B3YF","gold"
"HD377","FHJ2K","gold"
"Q0TQJ","1XVHX","other"
"41U3F","GDMHL","other"
"TFNKP","08IBI","other"
"FX1CL","68OPB","gold"
"B51ES","FCUMX","gold"
"2XHJP","UOD78","other"
"9H249","IU4J6","platinum"
"M0TCG","WICKR","silver"
"5Q3BJ","VPR0S","silver"
"TCYWW","4SJQM","gold"
"AIDK9","T4AGX","platinum"
"3PAFP","9PYMY","gold"
"XUK78","QGSK9","platinum"
"2GAUK","30Y0O","gold"
"2ZRVD","1UT50","other"
"ZQUM2","4ZPCH","silver"
"9K0AE","DUTU5","gold"
"XGZAA","ICGZP","gold"
"4LOD5","TGY0R","gold"
"2ZYL9","AOS9B","gold"
"7BMI0","6RJON","platinum"
"HV7MT","EFO3E","gold"
"9KEDJ","IW1YV","other"
"72DWL","AM1NE","silver"
"FD6RD","HT3YM","other"
"E51JK","IBPFS","gold"
"K4ZWN","10VH4","gold"
"8DWD2","4DGK4","other"
"QVMBI","BSKIY","platinum"
"IULJR","HYJMK","other"
"D1RXA","GBYB0","silver"
"W476F","U689F","platinum"
"3VPUT","EWCP6","other"
"PCN4U","E6ETC","other"
"X3IZF","6Z0GW","platinum"
"IDWYZ","5LCEM","platinum"
"BZYES","2OLZ4","gold"
"S8LGJ","R0E96","other"
"4XTAT","MN5MM","platinum"
"0DC8E","Q88PQ","other"
"EJCH5","I5PBV","gold"
"T0EMO","4ZL3C","gold"
"V5TW5","OO8OZ","gold"
"2GZNR","P4N68","other"
"4S5G5","W75FC","other"
"94ATG","HM63I","silver"
"MV8JJ","89DVC","silver"
"U1K4Y","E6UY7","other"
"NZJDU","SEG4W","platinum"
"0VUV4","BG6Y7","platinum"
"G9ACX","V13VR","other"
"RGCSY","F19QM","platinum"
"ZR0QS","JX5W3","silver"
"LRCM7","D2UWP","silver"
"I080C","INEW1","platinum"
"7B8CN","AJGC4","gold"
"Q1MSF","6O3VW","other"
"Y9ZT5","WUOER","silver"
"86YME","IANVS","other"
"A28TD","KH66F","platinum"
"HP5AM","ZC3TY","gold"
"U90VS","9WZI7","silver"
"UZS96","071QV","gold"
"9SMV6","S30PI","gold"
"594BG","ZIQ74","platinum"
"PFFBX","NO6XP","gold"
"OHWNX","TT58S","other"
"9YUQZ","WHAIW","gold"
"YY363","FNR15","gold"
"MCX38","0AXF3","silver"
"7NQA3","3Z5AQ","silver"
"THJKW","H4USM","platinum"
"RX59R","EMVQA","platinum"
"Q1COI","1V7I5","platinum"
"MZZJW","7QMWU","silver"
"2KE00","8F60O","silver"
"319LG","PLGOS","silver"
"B5P78","G0SUG","gold"
"L399R","11SY1","other"
"DG8KZ","SEH22","silver"
"XS8KW","U9PQK","other"
"ZFEZB","A1GKO","gold"
"PSLIF","8XW63","silver"
"QN61L","OC8VF","platinum"
"HWBR1","I813F","platinum"
"VYD6H","E1R3D","silver"
"6D2M8","C6SRA","platinum"
"HX26K","QJS22","other"
"C0SR9","5HILH","gold"
"X8EYA","S868N","other"
"2OVDK","JFH1P","silver"
"EEB2W","G35W0","gold"
"K95U5","6H8CJ","silver"
"UT4AJ","BNRJG","platinum"
"LF8NP","BAFRR","other"
"OQYQ8","4UJXG","platinum"
"3XNND","DMNLY","silver"
"8V7FB","OCJIM","other"
"I0PB5","3F1H9","gold"
"MUXL6","PHG93","platinum"
"R8MZ9","13R9D","silver"
"F07JE","VMWW8","other"
"NNB7T","3XZZM","platinum"
"18US8","PMTAD","other"
"F57GW","3GVCS","platinum"
"QF71F","OFR8B","gold"
"HY0XM","ITZG1","platinum"
"G934X","CL7TL","silver"
"NAIIX","9X2BH","gold"
"2QGSV","VG6X5","other"
"I7SVR","RT7RI","other"
"9H249","EDX4S","platinum"
"VOJ7T","8K8JK","silver"
"3BGXG","0J5BZ","platinum"
"SBTS3","7EZD9","gold"
"YKVJM","4TS99","other"
"IDJ1F","BBMWD","platinum"
"F8X3C","72E7U","silver"
"44T8U","WVRX2","platinum"
"4STWV","1CVX0","gold"
"8YT6D","W8LCO","silver"
"HAPZ0","VF3I1","gold"
"37J9D","N67FU","gold"
"96INL","KJAIJ","platinum"
"5OP9L","NCLUU","other"
"9UYJN","7LU7S","platinum"
"MMZ79","3HLQK","silver"
"NWHC3","TPC2Y","gold"
"KH7V9","6FPWO","platinum"
"2D25T","VKFGE","gold"
"DFL7M","NZP9X","gold"
"8LXVO","6V8V1","other"
"RKTNQ","CEEB2","silver"
"UC2HJ","C5HMM","other"
"UBVEC","JNPML","platinum"
"NQG7W","K3H8T","other"
"530GA","OJLBD","other"
"0O88R","IHVX1","platinum"
"RABV0","MK95E","other"
"N97MD","3SCZW","gold"
"IHHDW","OMFPJ","other"
"2CI85","2HEYT","silver"
"2UAVR","8515L","platinum"
"EC6R4","DGUKH","other"
"O5RYB","4JZLD","platinum"
"2B7KI","LF0LK","silver"
"0XGW8","1OSL7","other"
"NL683","PLM7U","silver"
"T2WYE","0NSU4","platinum"
"5A8V2","6BF98","other"
"XRO3I","UCB4Z","other"
"B7K9J","XJ0TX","silver"
"H9V8N","KEX7O","other"
"32MX6","GNJYK","platinum"
"IX6P3","5PMZL","gold"
"COOZX","DBG4L","other"
"NH2J4","LQ46R","platinum"
"HOQU6","06EF7","gold"
"IGA77","X77OD","gold"
"E4N93","46TTL","platinum"
"TWKUK","CJKSC","silver"
"NWLER","1KCK1","gold"
"5V4K8","84V7K","platinum"
"YSC4Z","5LPAU","platinum"
"BNV1R","86SME","platinum"
"PB6XJ","I8AQG","other"
"W6LKJ","U6MB6","silver"
"9I9Y8","TZA7Z","gold"
"SAF95","OJU7Y","platinum"
"V16D0","1UWPS","silver"
"5D3RE","BEZ2O","platinum"
"T8P6V","HJXLX","platinum"
"LQ4YI","PP5C1","gold"
"D6C70","AS23N","gold"
"QJ1MU","9YGH1","gold"
"N25NF","J9YNB","silver"
"419G0","ISRKC","gold"
"Q5QJB","ENY2B","gold"
"960GI","QNEG8","silver"
"H3AP5","1UN8Y","silver"
"W30RB","A166A","gold"
"CVOKE","SNBTH","platinum"
"0XW9D","PT9X5","other"
"Y3J4Q","XABER","silver"
"EGVM6","7K20Z","silver"
"KK7O0","QBQXL","silver"
"1MWCH","WSLM4","platinum"
"23CI8","BA4KP","platinum"
"RUZMY","ZI0E7","gold"
"7M4PP","Q76VK","other"
"YCQSP","F2BGX","gold"
"6WVRX","GKF09","other"
"27D57","YLZE1","silver"
"JDH5Z","JUOY6","other"
"KQ51N","MUA5Y","other"
"2MVW8","651I2","silver"
"NZOSU","K9OLE","other"
"MS685","4LNTY","platinum"
"8XK4U","1YBQK","other"
"EZF9Y","4LH86","silver"
"2BRQK","1TIS8","other"
"S68BT","BS7C6","silver"
"QS5K3","P1UQC","platinum"
"JKSCU","7TEPU","platinum"
"PKL13","EQTUF","silver"
"7XYZA","8S33G","other"
"3XND7","DBI0L","gold"
"4GHSM","Z08AW","other"
"23N21","4DNYR","platinum"
"5K8GZ","4C35F","gold"
"WOL22","WKVV3","silver"
"RMBFD","Z0JD0","silver"
"B6GBP","6492J","gold"
"PMWNT","ZHWOA","silver"
"6TKZ2","81RX1","gold"
"3SY96","KWW0H","other"
"40MFQ","ETK7Y","platinum"
"GO6WC","SLH7T","gold"
"JMKN1","RVDPF","platinum"
"8OTA0","1HOKW","gold"
"GHBRA","P5V92","silver"
"DOPBR","2BAF5","silver"
"OGSHX","S1FXP","platinum"
"ODYC4","1WVD2","other"
"8Q5YN","UPQUZ","silver"
"AYB53","QQ474","silver"
"6LD2P","GBBTO","platinum"
"HSI5F","JLG57","silver"
"56E9K","XWX43","silver"
"CITLD","XC0BC","silver"
"X39UG","6I0ZJ","other"
"NS9ZE","87AGR","other"
"S9A5U","SPKJC","silver"
"CTRTQ","QEAUH","gold"
"QQY9T","NIOZF","silver"
"BU6RF","9J0C6","platinum"
"JDHSH","AJVV1","silver"
"DJOFF","3UV6A","platinum"
"UYCHU","PD002","gold"
"39KRE","00B5O","platinum"
"RSOS8","LTJ4P","platinum"
"8VPDR","UXEQ6","other"
"NOYYO","HZPT7","platinum"
"XHB5V","1N52Y","gold"
"9LZIA","JX9RG","platinum"
"WQG5T","LTLMW","silver"
"3LA1T","AOIBW","platinum"
"Q9VTV","XH9I7","silver"
"MVR7X","CBT54","gold"
"3L5OC","18X0L","gold"
"3HZ88","N5L8H","gold"
"TLCX8","2JBJM","silver"
"SOC52","O4USJ","gold"
"X39UN","A75OD","gold"
"HXF13","CBNVU","platinum"
"QIDW5","3VVKJ","platinum"
"Z1OGK","AACY6","other"
"JIVVC","HA43Q","other"
"OYR9G","11WF7","gold"
"220YV","1PE4F","silver"
"BNMKU","KUSVT","platinum"
"LFM42","ZJOHA","gold"
"CF7VH","FFL5Q","gold"
"C673U","I0IFT","silver"
"CHL7D","4MFHY","gold"
"6FDIY","8M0PN","gold"
"B5AGB","NN9EZ","other"
"KQ2WO","X7EZB","platinum"
"U9N6V","FBY50","silver"
"7YSML","MFY4V","other"
"IV9HI","TXBKH","gold"
"KDGEM","9UH8P","gold"
"V2IK3","345OA","platinum"
"6QQG1","OVZHM","platinum"
"IZI8Z","0E03B","platinum"
"FBDW7","8H63U","other"
"JNY08","BO0VS","silver"
"DCIAL","YVMGO","other"
"X12KD","OP09N","other"
"1M8IN","A0Z4K","other"
"2VQV8","JLLFG","gold"
"Q83VE","BSLT1","silver"
"RDHCK","O3K3C","other"
"EHTGX","5HRVC","other"
"F3BJG","9BLHN","other"
"I3UUY","MIT60","gold"
"76IIX","5C517","silver"
"IW0J0","QPX66","platinum"
"AKGF9","XXUJE","gold"
"MT1TQ","ZB2O6","other"
"2V1QS","ZPU3B","other"
"KUPJA","GA28Z","silver"
"A5MWT","BZH7Z","silver"
"0KX7H","2VF69","gold"
"ZEDUV","F95B8","platinum"
"S2UB0","28DAD","silver"
"K6MZV","0Z7NT","gold"
"ODLOD","3W4NZ","silver"
"E9ENZ","DD2OG","silver"
"CGSY8","J5Q9X","gold"
"PE1VG","3132C","other"
"9GVYW","2EU0I","platinum"
"I3VNN","W1NG0","silver"
"75PL2","NBPGB","silver"
"EOD6K","3MUAQ","platinum"
"70TYX","SDNRD","silver"
"AP7NN","RGKTA","platinum"
"36FY3","7P1K0","platinum"
"EHME0","H2W89","silver"
"QMI7U","ADZ0U","silver"
"U36A1","2WHVY","platinum"
"JE2Q7","XAXW6","platinum"
"WPS57","PWJ8Y","gold"
"4JPGT","5MZ50","silver"
"XU3XN","OCSC1","silver"
"JVCOP","8EUF8","gold"
"VCSEM","YFZ27","platinum"
"C9OUY","YMCPD","silver"
"M5KD4","Y3V0Y","gold"
"C4IMU","3S4NA","silver"
"232AW","8N1EU","other"
"S8TEQ","9AZ2O","gold"
"0S665","878P7","platinum"
"F4YDD","64PGM","platinum"
"3LA1T","N638X","silver"
"LJJLK","IFT9Q","silver"
"2EEVY","431X6","gold"
"ZO0C6","ZQHQC","silver"
"CWY3U","7GEO2","platinum"
"LHO40","MX3QW","platinum"
"ASJPL","SJBRY","platinum"
"LIZRS","7YZ9B","platinum"
"KLT06","WYYUR","platinum"
"8PC6Z","5UTUL","gold"
"ACFJ8","QKCHY","platinum"
"ZCNJT","K5HSM","silver"
"SXABC","IWN8I","platinum"
"9JEC1","OYDQ2","other"
"S770A","449GT","gold"
"WC07K","H8DDE","other"
"4IWBP","7V4S2","silver"
"KD3UG","0ZDI4","platinum"
"BQT8U","S8QM4","silver"
"PTUTJ","50L99","gold"
"E30YJ","804EM","silver"
"7FX8V","NH1O3","platinum"
"N184W","BT0YW","silver"
"K3GZ3","QZNEW","gold"
"UXJ7D","UA79F","gold"
"9P9M7","RY2Y8","other"
"GJOBZ","HA0VN","silver"
"6UTC0","6U26L","gold"
"3ZYZ5","TOUN4","silver"
"BJH11","4CV5W","silver"
"2CTTN","T2U87","gold"
"HVQNB","IQ4RF","gold"
"BVCKC","VLN9Q","other"
"Q1HVC","FQ3C7","silver"
"C4G5P","83MP0","gold"
"YCE2Z","QHB9R","other"
"CY6Y6","ACLOM","gold"
"PYTP4","650B6","gold"
"UOK1I","WPKPE","gold"
"SY32T","2XCXK","other"
"3MFED","JMM47","silver"
"H7ARP","5B57Y","silver"
"LRWEK","MSFYT","gold"
"LXTQL","DGBGJ","gold"
"K22M7","DO6J3","gold"
"8TL5U","XT3P6","silver"
"D6NS6","YU4EP","gold"
"ZLWIW","MQGZW","other"
"BY7OP","XG97C","gold"
"BIADB","O5A0N","platinum"
"J101F","RWCUH","gold"
"LHYK7","K6NUT","gold"
"OYO9S","8UQPC","other"
"AJPY2","V03K5","gold"
"F74DR","7VX0V","gold"
"W8GRD","TIXP5","platinum"
"53TU6","RFJUF","silver"
"HYMFQ","8CA3E","gold"
"TO2MS","8C087","silver"
"FPABM","OF8AM","silver"
"OOD7L","K7JYC","other"
"P4YRD","3UDKS","platinum"
"7CQEC","PZJMV","other"
"DWLKH","X39UG","silver"
"6WWSZ","3XS6I","silver"
"PV1HV","MLP0T","silver"
"24GS6","3DM33","gold"
"X4QQL","6X0RK","gold"
"9WEYH","UTJSK","silver"
"45M4U","KO5B2","platinum"
"7XERB","QZB60","gold"
"ERZ51","ZFHM0","silver"
"ENFF8","R5LZM","silver"
"6PBFL","6MBE3","silver"
"VVZIM","1CFX8","platinum"
"A9TXT","NX3O5","gold"
"49ZYJ","XY2P7","platinum"
"OXCW7","Y1TW2","platinum"
"WMPX7","XXNFW","platinum"
"N09PN","QMGD0","silver"
"GQF1T","0L7KR","gold"
"WGXV7","4AZF9","platinum"
"ABET2","Y3PKW","platinum"
"GP5MN","KY9WW","silver"
"S1RFB","2YI3V","platinum"
"5QRTB","45OPI","platinum"
"39ATP","9DYD9","other"
"W6HFD","0PFWU","platinum"
"WMVNR","93FGD","platinum"
"35P4U","R2J9I","silver"
"CU3A5","9Y64U","other"
"ITD71","2L20G","other"
"MQQVX","BMNJP","other"
"T6J97","7Q3SH","platinum"
"JLFEK","LO0YU","platinum"
"T8ZBI","60GMX","silver"
"CNUS5","8YAND","other"
"NH1O8","WJ1R0","platinum"
"8SQEH","0D3OT","silver"
"6BHPB","HZME1","silver"
"PQN0T","OT86Y","platinum"
"6Z9KH","61F2K","platinum"
"2PFJM","A8ASV","silver"
"X5DCB","UFPQW","silver"
"VUI3I","OJS50","other"
"9DCI2","XDVGN","gold"
"MFQGX","DP7AH","gold"
"LR320","W6GWC","silver"
"K24KC","BVSQ4","platinum"
"WAO8L","6Q2GE","other"
"CFSGT","ITVFT","silver"
